기준_년분기_코드,행정동_코드,행정동_코드_명,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균
20233,1114059000,광희동,HH,정체,151,58,107,52
20232,1114059000,광희동,HH,정체,149,58,106,52
20231,1114059000,광희동,HH,정체,147,58,104,52
20233,1114060500,을지로동,HH,정체,162,71,107,52
20232,1114060500,을지로동,HH,정체,161,71,106,52
20231,1114060500,을지로동,HH,정체,160,70,104,52
20233,1114061500,신당동,HH,정체,113,63,107,52
20232,1114061500,신당동,HH,정체,110,63,106,52
20231,1114061500,신당동,HH,정체,107,63,104,52
20233,1114062500,다산동,LH,상권확장,107,54,107,52
20232,1114062500,다산동,LH,상권확장,106,54,106,52
20231,1114062500,다산동,LH,상권확장,104,54,104,52
20233,1114063500,약수동,LH,상권확장,102,56,107,52
20232,1114063500,약수동,LH,상권확장,100,56,106,52
20231,1114063500,약수동,LH,상권확장,99,56,104,52
20233,1114064500,청구동,LL,다이나믹,102,49,107,52
20232,1114064500,청구동,LL,다이나믹,100,49,106,52
20231,1114064500,청구동,LL,다이나믹,99,49,104,52
20233,1114065000,신당5동,LH,상권확장,100,52,107,52
20232,1114065000,신당5동,LH,상권확장,99,52,106,52
20231,1114065000,신당5동,LL,다이나믹,99,51,104,52
20233,1114066500,동화동,LL,다이나믹,105,52,107,52
20232,1114066500,동화동,LH,상권확장,103,52,106,52
20231,1114066500,동화동,LH,상권확장,100,52,104,52
20233,1114067000,황학동,HH,정체,121,66,107,52
20232,1114067000,황학동,HH,정체,120,66,106,52
20231,1114067000,황학동,HH,정체,119,65,104,52
20233,1114068000,중림동,HH,정체,118,57,107,52
20232,1114068000,중림동,HH,정체,116,57,106,52
20231,1114068000,중림동,HH,정체,113,57,104,52
20233,1129057500,동선동,LL,다이나믹,103,50,107,52
20232,1129057500,동선동,LL,다이나믹,102,50,106,52
20231,1129057500,동선동,LL,다이나믹,101,49,104,52
20233,1129058000,돈암1동,LL,다이나믹,96,52,107,52
20232,1129058000,돈암1동,LH,상권확장,93,52,106,52
20231,1129058000,돈암1동,LH,상권확장,89,52,104,52
20233,1129059000,돈암2동,LL,다이나믹,86,49,107,52
20232,1129059000,돈암2동,LL,다이나믹,84,49,106,52
20231,1129059000,돈암2동,LL,다이나믹,84,48,104,52
20233,1129060000,안암동,LH,상권확장,101,52,107,52
20232,1129060000,안암동,LH,상권확장,101,52,106,52
20231,1129060000,안암동,LH,상권확장,100,52,104,52
20233,1129061000,보문동,LH,상권확장,104,53,107,52
20232,1129061000,보문동,LH,상권확장,101,52,106,52
20231,1129061000,보문동,LH,상권확장,101,52,104,52
20233,1129062000,정릉1동,LH,상권확장,105,52,107,52
20232,1129062000,정릉1동,LH,상권확장,103,52,106,52
20231,1129062000,정릉1동,LL,다이나믹,102,51,104,52
20233,1129063000,정릉2동,LH,상권확장,105,54,107,52
20232,1129063000,정릉2동,LH,상권확장,103,54,106,52
20231,1129063000,정릉2동,LH,상권확장,103,53,104,52
20233,1129064000,정릉3동,HH,정체,109,56,107,52
20232,1129064000,정릉3동,HH,정체,107,56,106,52
20231,1129064000,정릉3동,LH,상권확장,104,56,104,52
20233,1129065000,정릉4동,LH,상권확장,101,55,107,52
20232,1129065000,정릉4동,LH,상권확장,99,55,106,52
20231,1129065000,정릉4동,LH,상권확장,97,55,104,52
20233,1129066000,길음1동,LH,상권확장,106,57,107,52
20232,1129066000,길음1동,LH,상권확장,105,57,106,52
20231,1129066000,길음1동,LH,상권확장,103,56,104,52
20233,1129068500,길음2동,LL,다이나믹,96,51,107,52
20232,1129068500,길음2동,LL,다이나믹,95,51,106,52
20231,1129068500,길음2동,LL,다이나믹,94,50,104,52
20233,1129070500,종암동,HH,정체,109,53,107,52
20232,1129070500,종암동,HH,정체,107,53,106,52
20231,1129070500,종암동,HH,정체,105,53,104,52
20233,1129071500,월곡1동,LL,다이나믹,103,50,107,52
20232,1129071500,월곡1동,LL,다이나믹,101,50,106,52
20231,1129071500,월곡1동,LL,다이나믹,100,50,104,52
20233,1129072500,월곡2동,LH,상권확장,106,52,107,52
20232,1129072500,월곡2동,LH,상권확장,104,52,106,52
20231,1129072500,월곡2동,LL,다이나믹,103,51,104,52
20233,1129076000,장위1동,LH,상권확장,99,53,107,52
20232,1129076000,장위1동,LH,상권확장,97,52,106,52
20231,1129076000,장위1동,LH,상권확장,96,52,104,52
20233,1129077000,장위2동,HH,정체,129,55,107,52
20232,1129077000,장위2동,HH,정체,128,55,106,52
20231,1129077000,장위2동,HH,정체,125,55,104,52
20233,1129078000,장위3동,LH,상권확장,101,59,107,52
20232,1129078000,장위3동,LH,상권확장,100,59,106,52
20231,1129078000,장위3동,LH,상권확장,98,59,104,52
20233,1129081000,석관동,HH,정체,115,53,107,52
20232,1129081000,석관동,HH,정체,113,53,106,52
20231,1129081000,석관동,HH,정체,112,53,104,52
20233,1130553400,삼양동,HL,상권축소,109,50,107,52
20232,1130553400,삼양동,HL,상권축소,107,50,106,52
20231,1130553400,삼양동,HL,상권축소,108,49,104,52
20233,1130553500,미아동,LL,다이나믹,98,48,107,52
