기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20231,1111051500,청운효자동,CS100001,한식음식점,4044405878 ,128881 ,2933978151 ,1110427727 ,515654088 ,532422029 ,586919669 ,610083256 ,688899109 ,679350088 ,431077639 ,18343834 ,51602523 ,1414300010 ,608576962 ,1541686853 ,409895696 ,1792274992 ,1517474794 ,8772948 ,548224872 ,825620273 ,607715083 ,716387382 ,603029224 ,93368 ,35513 ,18034 ,16951 ,18389 ,18767 ,21227 ,21073 ,14440 ,384 ,2679 ,56444 ,26539 ,38021 ,4814 ,57702 ,59544 ,618 ,22428 ,28949 ,22890 ,24205 ,18154 
20231,1111051500,청운효자동,CS100003,일식음식점,440409096 ,17294 ,303271351 ,137137745 ,26966279 ,69676863 ,64109282 ,65523514 ,76995413 ,85809485 ,51328260 ,3011177 ,91386 ,207458131 ,66539115 ,145539340 ,17769947 ,155919330 ,215560855 ,4294467 ,133664241 ,99377520 ,63052276 ,49135483 ,21956203 ,12155 ,5139 ,737 ,3062 ,2755 ,2397 ,3204 ,2957 ,2182 ,59 ,5 ,9142 ,3089 ,4766 ,233 ,6519 ,9708 ,266 ,6051 ,4598 ,2503 ,2118 ,689 
20231,1111051500,청운효자동,CS100004,양식음식점,2079840033 ,36469 ,1261311797 ,818528236 ,160368115 ,216942317 ,290884887 ,274406091 ,318710387 ,514089297 ,304438939 ,25356103 ,256875 ,499081493 ,401178604 ,761887355 ,392079603 ,772663864 ,1062371749 ,4411131 ,470438427 ,689870102 ,290857399 ,261391903 ,118066654 ,22143 ,14326 ,2440 ,4453 ,4795 ,4794 ,5661 ,8679 ,5647 ,389 ,19 ,10970 ,8310 ,13732 ,3049 ,11639 ,22519 ,208 ,12284 ,11402 ,4560 ,4137 ,1567 
20231,1111051500,청운효자동,CS100005,제과점,833615483 ,61657 ,498790912 ,334824571 ,89378438 ,95309892 ,106872163 ,100247913 ,106982506 ,175290306 ,159534265 ,0 ,61389428 ,236692409 ,321008159 ,210800566 ,3724921 ,276762497 ,536227904 ,3526385 ,165870812 ,233559101 ,168286981 ,157896627 ,83850498 ,36912 ,24745 ,6804 ,6784 ,8213 ,7303 ,7808 ,12915 ,11830 ,0 ,4763 ,16880 ,23512 ,16121 ,381 ,19895 ,40766 ,341 ,13420 ,17153 ,12246 ,11275 ,6222 
20231,1111051500,청운효자동,CS100006,패스트푸드점,31372426 ,2752 ,23495453 ,7876973 ,6264218 ,3060098 ,3456514 ,3992673 ,6721950 ,1664089 ,6212884 ,0 ,10192722 ,8605637 ,6637818 ,5936249 ,0 ,10751697 ,10768809 ,627419 ,5387257 ,5037898 ,7356500 ,1890816 ,1220617 ,2181 ,571 ,399 ,442 ,541 ,485 ,314 ,186 ,385 ,0 ,399 ,1113 ,940 ,300 ,0 ,1083 ,1497 ,100 ,656 ,684 ,727 ,313 ,100 
20231,1111051500,청운효자동,CS100008,분식전문점,260060258 ,14655 ,154859950 ,105200308 ,28924429 ,27645206 ,29899258 ,33750389 ,34640668 ,57950692 ,47249616 ,2036163 ,4410085 ,78936292 ,66248132 ,82227317 ,26202269 ,99317336 ,144161663 ,620675 ,65922911 ,69016940 ,42957093 ,44672392 ,20288987 ,8513 ,6142 ,1628 ,1559 ,1775 ,1700 ,1851 ,3324 ,2818 ,30 ,295 ,4410 ,5005 ,4493 ,422 ,5484 ,8749 ,93 ,4608 ,3865 ,2486 ,2462 ,721 
20231,1111051500,청운효자동,CS100009,호프-간이주점,192476778 ,2906 ,121550364 ,70926414 ,8287916 ,21664866 ,27467564 ,29975635 ,34154383 ,44396760 ,26529654 ,27489831 ,0 ,0 ,3373964 ,55982118 ,105630865 ,84975019 ,84093320 ,0 ,47133453 ,66828735 ,20618667 ,19597766 ,14889716 ,1849 ,1057 ,168 ,353 ,414 ,372 ,542 ,623 ,434 ,300 ,0 ,0 ,77 ,996 ,1533 ,1366 ,1326 ,0 ,712 ,928 ,339 ,396 ,317 
20231,1111051500,청운효자동,CS100010,커피-음료,4706636992 ,353328 ,3206502805 ,1500134187 ,506080319 ,663920856 ,577964905 ,806060401 ,652476324 ,835870035 ,664264152 ,2329942 ,262150614 ,1456529847 ,1530097290 ,1025767813 ,429761486 ,1386143122 ,2963869204 ,15988499 ,1093209056 ,1177309255 ,845494096 ,638530359 ,579481066 ,242739 ,110589 ,45152 ,45623 ,50894 ,48778 ,52292 ,60470 ,50119 ,28 ,41633 ,121921 ,114581 ,73450 ,1715 ,108373 ,227179 ,1651 ,91181 ,98710 ,66323 ,53976 ,23712 
20231,1111051500,청운효자동,CS200001,일반교습학원,418953533 ,997 ,380964689 ,37988844 ,108576594 ,117273916 ,44479586 ,50248450 ,60386143 ,23880704 ,14108140 ,0 ,1836735 ,3831799 ,228191689 ,183440249 ,1653061 ,52609347 ,366344186 ,0 ,0 ,11021985 ,341138321 ,66793227 ,0 ,853 ,144 ,324 ,132 ,145 ,67 ,185 ,100 ,44 ,0 ,13 ,25 ,669 ,284 ,6 ,146 ,851 ,0 ,0 ,44 ,821 ,132 ,0 
20231,1111051500,청운효자동,CS200003,예술학원,135215385 ,870 ,132149811 ,3065574 ,48211434 ,14162796 ,33502351 ,33746203 ,2527027 ,3065574 ,0 ,0 ,9204462 ,2527027 ,58198395 ,52066627 ,13218874 ,53245507 ,81969878 ,0 ,0 ,45704389 ,86524510 ,2986486 ,0 ,842 ,28 ,309 ,97 ,230 ,183 ,23 ,28 ,0 ,0 ,51 ,23 ,385 ,360 ,51 ,307 ,563 ,0 ,0 ,328 ,519 ,23 ,0 
