기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20231,1111051500,청운효자동,CS100001,한식음식점,92,93,3,3,3,3,1
20231,1111051500,청운효자동,CS100002,중식음식점,2,2,0,0,0,0,0
20231,1111051500,청운효자동,CS100003,일식음식점,16,17,0,0,0,0,1
20231,1111051500,청운효자동,CS100004,양식음식점,45,45,2,1,7,3,0
20231,1111051500,청운효자동,CS100005,제과점,19,20,5,1,0,0,1
20231,1111051500,청운효자동,CS100006,패스트푸드점,7,9,0,0,0,0,2
20231,1111051500,청운효자동,CS100007,치킨전문점,1,1,0,0,0,0,0
20231,1111051500,청운효자동,CS100008,분식전문점,30,30,10,3,0,0,0
20231,1111051500,청운효자동,CS100009,호프-간이주점,11,12,0,0,0,0,1
20231,1111051500,청운효자동,CS100010,커피-음료,83,83,5,4,2,2,0
20231,1111051500,청운효자동,CS200001,일반교습학원,9,9,0,0,22,2,0
20231,1111051500,청운효자동,CS200002,외국어학원,3,3,0,0,0,0,0
20231,1111051500,청운효자동,CS200003,예술학원,15,15,7,1,7,1,0
20231,1111051500,청운효자동,CS200005,스포츠 강습,9,9,11,1,0,0,0
20231,1111051500,청운효자동,CS200006,일반의원,4,4,0,0,0,0,0
20231,1111051500,청운효자동,CS200007,치과의원,3,3,0,0,0,0,0
20231,1111051500,청운효자동,CS200008,한의원,1,1,0,0,0,0,0
20231,1111051500,청운효자동,CS200009,동물병원,1,1,0,0,0,0,0
20231,1111051500,청운효자동,CS200010,변호사사무소,4,4,0,0,0,0,0
20231,1111051500,청운효자동,CS200012,법무사사무소,1,1,0,0,0,0,0
20231,1111051500,청운효자동,CS200013,기타법무서비스,3,3,0,0,0,0,0
20231,1111051500,청운효자동,CS200015,세무사사무소,1,1,0,0,0,0,0
20231,1111051500,청운효자동,CS200016,당구장,1,1,0,0,0,0,0
20231,1111051500,청운효자동,CS200017,골프연습장,1,1,0,0,0,0,0
20231,1111051500,청운효자동,CS200020,전자게임장,1,1,0,0,0,0,0
20231,1111051500,청운효자동,CS200025,자동차수리,1,1,0,0,0,0,0
20231,1111051500,청운효자동,CS200026,자동차미용,4,4,25,1,0,0,0
20231,1111051500,청운효자동,CS200028,미용실,15,15,7,1,0,0,0
20231,1111051500,청운효자동,CS200029,네일숍,1,1,0,0,0,0,0
20231,1111051500,청운효자동,CS200030,피부관리실,6,6,0,0,0,0,0
20231,1111051500,청운효자동,CS200031,세탁소,2,5,20,1,0,0,3
20231,1111051500,청운효자동,CS200032,가전제품수리,6,6,17,1,0,0,0
20231,1111051500,청운효자동,CS200033,부동산중개업,40,40,0,0,3,1,0
20231,1111051500,청운효자동,CS200034,여관,3,3,0,0,0,0,0
20231,1111051500,청운효자동,CS200035,게스트하우스,26,26,0,0,4,1,0
20231,1111051500,청운효자동,CS200036,고시원,2,2,0,0,0,0,0
20231,1111051500,청운효자동,CS200037,노래방,2,2,0,0,50,1,0
20231,1111051500,청운효자동,CS200040,녹음실,2,2,0,0,0,0,0
20231,1111051500,청운효자동,CS200041,사진관,12,12,0,0,0,0,0
20231,1111051500,청운효자동,CS200042,통번역서비스,3,3,0,0,0,0,0
20231,1111051500,청운효자동,CS200043,건축물청소,3,3,0,0,0,0,0
20231,1111051500,청운효자동,CS200044,여행사,11,11,9,1,0,0,0
20231,1111051500,청운효자동,CS200046,의류임대,3,3,0,0,0,0,0
20231,1111051500,청운효자동,CS200047,가정용품임대,1,1,0,0,0,0,0
20231,1111051500,청운효자동,CS300001,슈퍼마켓,30,30,3,1,7,2,0
20231,1111051500,청운효자동,CS300002,편의점,2,16,0,0,0,0,14
20231,1111051500,청운효자동,CS300003,컴퓨터및주변장치판매,3,3,33,1,0,0,0
20231,1111051500,청운효자동,CS300004,핸드폰,1,1,0,0,0,0,0
20231,1111051500,청운효자동,CS300005,주류도매,5,5,0,0,0,0,0
20231,1111051500,청운효자동,CS300006,미곡판매,4,4,0,0,0,0,0
20231,1111051500,청운효자동,CS300007,육류판매,10,10,0,0,0,0,0
20231,1111051500,청운효자동,CS300008,수산물판매,5,5,0,0,0,0,0
20231,1111051500,청운효자동,CS300009,청과상,7,7,0,0,0,0,0
20231,1111051500,청운효자동,CS300010,반찬가게,18,18,0,0,0,0,0
20231,1111051500,청운효자동,CS300011,일반의류,59,59,2,1,2,1,0
20231,1111051500,청운효자동,CS300013,유아의류,7,7,0,0,0,0,0
20231,1111051500,청운효자동,CS300014,신발,8,9,0,0,11,1,1
